ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Location_Center_X,Location_Center_Y,Location_Center_Z
1,1,61,110,478,20,467,10,471.9344262295082,14.459016393442623,1.204404551070064,0.8975512535329446,8.812923024107548,1,0.5545454545454546,0.8302858031477388,13.344415563732746,12.041594578792296,2.8284271247461903,1.589378472325001,1.4142135623730951,5.269651864139677,5.883688069755355,-50.086065058068264,30.384776310850235,0.9104477611940298,471.9344262295082,14.459016393442623,0
1,2,161,336,398,142,377,126,384.99378881987576,132.22360248447205,2.1445705977991585,0.7839452316416782,14.317526556719258,1,0.4791666666666667,0.4662938123959354,21.06311838357671,20.223748416156685,4.123105625617661,1.925210249126199,2.0,14.298541039632992,13.076615529691596,-75.5307521865807,65.87005768508881,0.706140350877193,384.99378881987576,132.22360248447205,0
1,3,8,9,465,298,462,295,463.125,296.125,0.5468022991227088,0.6123724356957945,3.1915382432114616,1,0.8888888888888888,1.8288145488861385,3.4641016151377544,2.8284271247461903,1.4142135623730951,1.051776695296637,1.0,2.0,2.7386127875258306,45.0,7.414213562373095,1.0,463.125,296.125,0
1,4,13,15,850,321,845,318,847.0,319.15384615384613,0.7177571704566658,0.8064425896179158,4.068428945128219,1,0.8666666666666667,1.3932288539364366,5.203549084703927,4.123105625617661,2.0,1.1406482403650915,1.0,2.0,3.076923076923077,90.0,10.82842712474619,1.0,847.0,319.15384615384613,0
1,5,217,1040,763,396,737,356,748.6497695852535,375.7649769585253,4.361262214151617,0.9819339851364873,16.622063085174787,1,0.20865384615384616,0.229291418607016,51.42204342508708,42.05948168962618,3.0,1.5468936430782316,1.4142135623730951,12.02562649320372,9.730274779634493,-31.20779098396894,109.05382386916237,0.5154394299287411,748.6497695852535,375.7649769585253,0
1,6,182,330,612,391,597,369,603.3626373626373,379.4065934065934,1.6606062910627482,0.7814677453985006,15.222667215103916,1,0.5515151515151515,0.6021896974508172,20.59947094235342,22.47220505424423,5.830951894845301,2.347868521270982,2.0,12.521980673998822,12.852950101038997,-23.928789051489613,61.62741699796952,0.8348623853211009,603.3626373626373,379.4065934065934,0
1,7,105,192,53,431,41,415,46.076190476190476,422.3142857142857,1.3372896752159973,0.8945830389726753,11.562445770562215,1,0.546875,0.7477811416127783,17.65485448201479,17.0,4.0,1.8992016229017872,2.0,7.37443916112788,7.889985605568005,-27.748897447506806,42.00609665440987,0.8823529411764706,46.076190476190476,422.3142857142857,0
1,8,13,16,511,419,507,415,508.38461538461536,416.38461538461536,0.6422005297067807,0.523556754446835,4.068428945128219,1,0.8125,1.5571460217520925,4.318667337728677,3.605551275463989,2.0,1.1725108220860991,1.0,2.8284271247461903,3.6794648440311994,-45.0,10.242640687119284,1.0,508.38461538461536,416.38461538461536,0
1,9,23,30,71,439,65,434,67.21739130434783,435.82608695652175,0.8258574106743418,0.5959681217349533,5.4115163798060095,1,0.7666666666666667,1.2108627797908413,6.073487847554652,5.830951894845301,2.8284271247461903,1.350915991820238,1.0,4.0,4.877059896033684,-52.08228263397994,15.449747468305832,0.9583333333333334,67.21739130434783,435.82608695652175,0
1,10,19,36,693,470,689,461,690.7368421052631,465.2631578947368,1.162043822329377,0.9569320330998223,4.918490759365935,1,0.5277777777777778,0.8605527440397629,9.465765137226313,8.06225774829855,1.4142135623730951,1.065402141427331,1.0,2.2135943621178655,2.7480256435317445,-15.221787839962847,16.65685424949238,0.8260869565217391,690.7368421052631,465.2631578947368,0
