ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Location_Center_X,Location_Center_Y,Location_Center_Z
1,1,578,1209,440,65,409,26,423.2716262975779,44.84083044982699,1.58501406997772,0.9404657420116103,27.128075067297424,1,0.47808105872622003,0.6309092259440048,46.59241383915782,45.803929962395145,8.06225774829855,3.59410636470942,3.605551275463989,15.617376188860607,15.836225354409871,-37.530488444538086,107.29646455628166,0.9553719008264463,423.2716262975779,44.84083044982699,0
1,2,775,1400,874,80,824,52,849.298064516129,64.77806451612904,1.6057664713500193,0.9400257149516001,31.412746571571088,1,0.5535714285714286,0.6227555611864706,53.985662285933984,52.55473337388365,9.486832980505138,4.085564679385477,4.0,18.65743819499344,18.414702907129037,66.5790546628392,125.05382386916236,0.9567901234567902,849.298064516129,64.77806451612904,0
1,3,773,1120,959,89,919,61,939.9301423027167,73.90038809831825,1.2530419598857176,0.8119998753353641,31.372187811504013,1,0.6901785714285714,0.7980578719735801,41.68905138614738,41.78516483155236,11.704699910719626,4.8152760252506654,4.242640687119285,23.274478672272412,24.332131978938175,70.4623527486223,110.3259018078045,0.967459324155194,939.9301423027167,73.90038809831825,0
1,4,342,528,185,87,161,65,172.71929824561403,74.71345029239767,1.2403801852391312,0.6616365545804732,20.867389014906145,1,0.6477272727272727,0.8062044298194035,24.407499610526077,24.413111231467404,8.54400374531753,3.4430113958644837,3.0,17.67766952966369,18.30134589276328,-47.620228482558275,73.01219330881975,0.9243243243243243,172.71929824561403,74.71345029239767,0
1,5,197,252,427,95,413,77,420.23857868020303,85.61928934010152,1.0838432848662833,0.5875039164471666,15.837556323903858,1,0.7817460317460317,0.9226426126018511,17.86131640775561,17.88854381999832,7.0,2.8456247571585895,2.8284271247461903,13.0,14.453758078128724,-10.326806146564293,51.798989873223334,0.9516908212560387,420.23857868020303,85.61928934010152,0
1,6,448,729,167,103,140,76,153.24330357142858,89.74776785714286,1.2210786521504315,0.8104977879928849,23.883285285767386,1,0.6145404663923183,0.8189480654984085,31.489790555484316,30.805843601498726,9.219544457292887,3.7872894714353253,3.605551275463989,17.67766952966369,18.44488335960089,-43.727291764687216,82.91168824543142,0.9572649572649573,153.24330357142858,89.74776785714286,0
1,7,1899,2700,192,161,138,111,165.19167983149026,134.9942074776198,1.1618339984206625,0.7236100641369109,49.17196249339733,1,0.7033333333333334,0.8607081574126327,59.45496155964869,58.412327466040935,20.591260281974,7.866924321524624,7.0710678118654755,40.988161849059615,41.03635005407179,51.13595846316754,166.50966799187808,0.9783616692426584,165.19167983149026,134.9942074776198,0
1,8,509,675,371,146,346,119,358.48722986247543,131.4400785854617,1.1298864379319364,0.5431837418766353,25.45739437315213,1,0.7540740740740741,0.8850446969080616,28.083958670854315,28.0178514522438,11.180339887498949,4.262063320370848,4.0,23.714518303739133,23.579680754008994,33.55180927589804,85.01219330881976,0.9531835205992509,358.48722986247543,131.4400785854617,0
1,9,623,806,400,148,369,122,382.69662921348316,133.81059390048154,1.26707740888514,0.48075074233544435,28.16430784468183,1,0.7729528535980149,0.7892177644299311,30.52847205056401,33.54101966249684,12.165525060596439,4.578361758963185,4.0,25.0,26.769113561119504,-81.44494644789766,99.59797974644667,0.9298507462686567,382.69662921348316,133.81059390048154,0
1,10,358,504,414,151,393,127,404.1005586592179,139.00558659217876,1.1582069977071592,0.5278791538192198,21.349935761383176,1,0.7103174603174603,0.8634035211146599,23.454892914068004,23.53720459187964,9.219544457292887,3.629876136405048,3.1622776601683795,19.677398201998148,19.920697727399524,-12.599657851400522,72.18376618407356,0.9250645994832042,404.1005586592179,139.00558659217876,0
1,11,420,756,895,270,867,243,880.6571428571428,256.29285714285714,1.4232096948391317,0.9148978356894805,23.12489154112443,1,0.5555555555555556,0.7026371473059927,36.457350768594665,36.124783736376884,7.615773105863909,3.296596914138811,3.0,14.142135623730951,14.717302398932908,-44.6249221505077,86.66904755831214,0.9567198177676538,880.6571428571428,256.29285714285714,0
1,12,512,702,875,305,848,279,860.978515625,291.3359375,1.1078393519125898,0.7650745506677458,25.532305945691693,1,0.7293447293447294,0.9026579515103752,31.856566805555396,31.400636936215164,10.63014581273465,4.255968493047048,4.0,19.79898987322333,20.513772252971414,-47.632879079983326,84.42640687119285,0.9715370018975332,860.978515625,291.3359375,0
1,13,598,924,972,360,939,332,955.4765886287626,346.33110367892976,1.3264885155377715,0.8548889768428054,27.59342761875783,1,0.6471861471861472,0.7538700774914664,38.78995061758574,38.600518131237564,10.0,4.068242790359006,3.802775637731995,20.47796520222479,20.124652454963663,-52.82330241984945,99.84062043356595,0.934375,955.4765886287626,346.33110367892976,0
1,14,618,1089,775,379,742,346,758.3948220064725,360.98867313915855,1.2997430334981814,0.8272493367702345,28.05106127486678,1,0.5674931129476584,0.7693828504766509,38.106111532207954,36.89173349139343,10.295630140987,4.228737921380392,3.802775637731995,20.523907260333477,21.40934607354312,-42.21064596265274,100.46803743153546,0.955177743431221,758.3948220064725,360.98867313915855,0
