ImageNumber,Mean_Nuc_Cent1,Mean_Nuc_Cent2,Mean_Nuc_Cil,Mean_Cent1_Cil,Mean_Cent2_Cil,Mean_Cent1_Cent2,Mean_Nucleus_AreaShape_Area,Mean_Nucleus_AreaShape_BoundingBoxArea,Mean_Nucleus_AreaShape_BoundingBoxMaximum_X,Mean_Nucleus_AreaShape_BoundingBoxMaximum_Y,Mean_Nucleus_AreaShape_BoundingBoxMinimum_X,Mean_Nucleus_AreaShape_BoundingBoxMinimum_Y,Mean_Nucleus_AreaShape_Center_X,Mean_Nucleus_AreaShape_Center_Y,Mean_Nucleus_AreaShape_Compactness,Mean_Nucleus_AreaShape_Eccentricity,Mean_Nucleus_AreaShape_EquivalentDiameter,Mean_Nucleus_AreaShape_EulerNumber,Mean_Nucleus_AreaShape_Extent,Mean_Nucleus_AreaShape_FormFactor,Mean_Nucleus_AreaShape_MajorAxisLength,Mean_Nucleus_AreaShape_MaxFeretDiameter,Mean_Nucleus_AreaShape_MaximumRadius,Mean_Nucleus_AreaShape_MeanRadius,Mean_Nucleus_AreaShape_MedianRadius,Mean_Nucleus_AreaShape_MinFeretDiameter,Mean_Nucleus_AreaShape_MinorAxisLength,Mean_Nucleus_AreaShape_Orientation,Mean_Nucleus_AreaShape_Perimeter,Mean_Nucleus_AreaShape_Solidity,Mean_Centriole1_AreaShape_Area,Mean_Centriole1_AreaShape_BoundingBoxArea,Mean_Centriole1_AreaShape_BoundingBoxMaximum_X,Mean_Centriole1_AreaShape_BoundingBoxMaximum_Y,Mean_Centriole1_AreaShape_BoundingBoxMinimum_X,Mean_Centriole1_AreaShape_BoundingBoxMinimum_Y,Mean_Centriole1_AreaShape_Center_X,Mean_Centriole1_AreaShape_Center_Y,Mean_Centriole1_AreaShape_Compactness,Mean_Centriole1_AreaShape_Eccentricity,Mean_Centriole1_AreaShape_EquivalentDiameter,Mean_Centriole1_AreaShape_EulerNumber,Mean_Centriole1_AreaShape_Extent,Mean_Centriole1_AreaShape_FormFactor,Mean_Centriole1_AreaShape_MajorAxisLength,Mean_Centriole1_AreaShape_MaxFeretDiameter,Mean_Centriole1_AreaShape_MaximumRadius,Mean_Centriole1_AreaShape_MeanRadius,Mean_Centriole1_AreaShape_MedianRadius,Mean_Centriole1_AreaShape_MinFeretDiameter,Mean_Centriole1_AreaShape_MinorAxisLength,Mean_Centriole1_AreaShape_Orientation,Mean_Centriole1_AreaShape_Perimeter,Mean_Centriole1_AreaShape_Solidity,Mean_Centriole2_AreaShape_Area,Mean_Centriole2_AreaShape_BoundingBoxArea,Mean_Centriole2_AreaShape_BoundingBoxMaximum_X,Mean_Centriole2_AreaShape_BoundingBoxMaximum_Y,Mean_Centriole2_AreaShape_BoundingBoxMinimum_X,Mean_Centriole2_AreaShape_BoundingBoxMinimum_Y,Mean_Centriole2_AreaShape_Center_X,Mean_Centriole2_AreaShape_Center_Y,Mean_Centriole2_AreaShape_Compactness,Mean_Centriole2_AreaShape_Eccentricity,Mean_Centriole2_AreaShape_EquivalentDiameter,Mean_Centriole2_AreaShape_EulerNumber,Mean_Centriole2_AreaShape_Extent,Mean_Centriole2_AreaShape_FormFactor,Mean_Centriole2_AreaShape_MajorAxisLength,Mean_Centriole2_AreaShape_MaxFeretDiameter,Mean_Centriole2_AreaShape_MaximumRadius,Mean_Centriole2_AreaShape_MeanRadius,Mean_Centriole2_AreaShape_MedianRadius,Mean_Centriole2_AreaShape_MinFeretDiameter,Mean_Centriole2_AreaShape_MinorAxisLength,Mean_Centriole2_AreaShape_Orientation,Mean_Centriole2_AreaShape_Perimeter,Mean_Centriole2_AreaShape_Solidity,Mean_Cilia_AreaShape_Area,Mean_Cilia_AreaShape_BoundingBoxArea,Mean_Cilia_AreaShape_BoundingBoxMaximum_X,Mean_Cilia_AreaShape_BoundingBoxMaximum_Y,Mean_Cilia_AreaShape_BoundingBoxMinimum_X,Mean_Cilia_AreaShape_BoundingBoxMinimum_Y,Mean_Cilia_AreaShape_Center_X,Mean_Cilia_AreaShape_Center_Y,Mean_Cilia_AreaShape_Compactness,Mean_Cilia_AreaShape_Eccentricity,Mean_Cilia_AreaShape_EquivalentDiameter,Mean_Cilia_AreaShape_EulerNumber,Mean_Cilia_AreaShape_Extent,Mean_Cilia_AreaShape_FormFactor,Mean_Cilia_AreaShape_MajorAxisLength,Mean_Cilia_AreaShape_MaxFeretDiameter,Mean_Cilia_AreaShape_MaximumRadius,Mean_Cilia_AreaShape_MeanRadius,Mean_Cilia_AreaShape_MedianRadius,Mean_Cilia_AreaShape_MinFeretDiameter,Mean_Cilia_AreaShape_MinorAxisLength,Mean_Cilia_AreaShape_Orientation,Mean_Cilia_AreaShape_Perimeter,Mean_Cilia_AreaShape_Solidity
1,8.705929301405288,12.12435207009651,38.848766813280044,33.10980713639783,42.14960178736081,12.299964928987219,1101.546511627907,1694.7906976744187,511.1162790697674,543.7790697674419,472.9825581395349,501.4244186046512,491.5261141660081,521.9837484710312,1.3851834615165495,0.7350740623910965,36.2996186638108,1.0,0.6714119987841678,,47.17069597659304,47.593904256843544,13.735293770652962,5.354444414013386,4.837355317535826,29.896516623655195,29.599111560946604,0.005868635391135233,135.2622912242778,0.9272078449542629,23.6,46.05,479.6,506.1,472.0,500.3,475.28844905730466,502.70202920523934,0.7751252622908222,0.6844551716186934,5.333607134365871,1.0,0.5139604991569278,1.532429784261409,7.436982073162943,7.041213047141338,1.643911347786002,1.0938006902359028,1.0103553390593274,4.449040160069239,5.249278801321546,-0.15297264765920535,15.065128060534576,0.6954480000373435,30.75,60.0,538.0,533.25,529.25,526.5,533.3682541171565,529.3635438815927,0.9825167718038388,0.6872768819871973,6.175270208521062,1.0,0.5096230158730158,1.1422274563855983,8.200834364911154,8.112158999987816,2.016123775561495,1.196757736328987,1.0,5.273500981126146,5.900506679651693,0.1696527498023434,19.458630944789018,0.7390704892591685,12.247093023255815,20.316860465116278,501.0843023255814,522.9389534883721,497.125,519.0668604651163,498.59431796223134,520.4890335898722,0.5959652116488079,0.6998623188405108,3.5071735219714255,1.0,0.762221654833262,,4.9731429787359085,4.0329012433015805,1.4595395040562535,1.0903547191702245,1.0107145797843187,1.7935898591238262,2.356535079394832,0.20748783235308288,9.22412433709254,0.9522728053567606
2,8.131608567559164,9.74233414755907,48.02321559760502,34.20239447062912,34.440716032746856,10.999384171852702,1022.8702064896755,1573.9233038348082,559.1917404129794,565.9705014749262,519.7256637168142,527.5840707964602,538.958395433388,546.3281557730687,1.3823012155587455,0.7466818535071266,35.160045667522155,1.0,0.6676241896356477,,45.873296730221576,45.9279385192884,13.21201326355119,5.1939877823848395,4.704711597586589,28.921037324698077,28.48371715349965,0.06229694040015534,130.6518413383699,0.9269285147806503,12.831168831168831,19.350649350649352,527.5194805194806,547.9480519480519,522.974025974026,543.922077922078,524.7750311421125,545.4489587972995,0.6721764376967313,0.6669011349025117,3.933066582126377,1.0,0.711883288669003,1.6114898958578765,4.936635888836167,4.26012102249841,1.631158726476014,1.111575298600495,1.0,2.546199642802665,3.3462375029333313,0.13842039043344134,10.32140654630702,0.9188331303810564,13.222222222222221,24.11111111111111,526.5555555555555,611.6666666666666,521.6666666666666,606.8888888888889,523.5826094276094,608.7709608909609,0.7456268460284973,0.7869902548434753,4.0506615507087025,1.0,0.625568783068783,1.4137852055521902,5.957974801450444,5.280664449548798,1.6285393610547088,1.083313451052105,1.0,2.7699012828792027,3.388834015746989,0.7599517917820435,11.104569499661586,0.8359574149047834,14.097345132743364,24.86725663716814,531.7935103244838,537.693215339233,527.4749262536873,533.2654867256637,529.152093013286,534.9891206516797,0.664460307488725,0.7321661397627054,3.7914843416963464,1.0,0.7391999520765735,,5.75688465122667,4.712585479330062,1.5165710895471787,1.1008022750687623,1.008553082408884,1.945989559381441,2.5230508941430823,0.27050416159306895,10.55086866938358,0.9418496969258223
3,9.032063376713479,13.17873879703165,27.39339085927722,22.80534827586042,26.570584589115253,14.58312984862369,894.0738916256157,1355.3226600985222,542.1502463054187,562.7364532019704,505.35714285714283,527.4876847290641,523.2261707264806,544.5937364760459,1.3233124219614871,0.7251121098859661,32.85884409306534,1.0,0.6793205916254301,,42.07557908459054,42.04649140608508,12.610214208863907,4.97116548110421,4.48333138283934,27.064322924410405,26.945494252405663,-0.047375967709294003,119.52056251511381,0.935076934896439,16.482758620689655,24.775862068965516,471.3103448275862,500.8103448275862,466.58620689655174,496.3103448275862,468.4674589553711,498.02559931629054,0.7314662246253072,0.6241139784563526,4.333324552009012,1.0,0.7491420361247947,1.448401505203196,5.243965581698773,4.606434201105887,1.8584282063047561,1.167066736749613,1.0214248394330911,2.8907315485021403,3.6953535169057186,0.068601454664463,11.99902099203461,0.9541634387356477,15.5,24.333333333333332,511.0,492.6666666666667,506.0,488.1666666666667,507.96801565880514,490.0266486194118,0.8000477779072579,0.7357906561733306,4.27071902140054,1.0,0.6611111111111111,1.2970492834946101,5.357789026359405,4.745556272947926,1.7475468957064286,1.1495221830820814,1.0,2.8675861147484376,3.527082156637212,-0.013266244491299206,12.185449728701348,0.9347194869464223,11.72167487684729,19.692118226600986,527.5024630541872,545.8817733990148,523.4852216748768,542.1059113300493,524.9808572041889,543.4985384386453,0.6021870064312852,0.6954480956815214,3.4786770972707672,1.0,0.7647663030781693,,4.989320182916827,4.034797223179328,1.4478240533502222,1.0834996415922722,1.0055237455347765,1.7526197182229444,2.3257783451913814,0.23447473650630946,9.157386226240353,0.954077187686822
4,8.933998118506743,11.30315488711661,71.99531945521204,95.63787661794747,154.5649256385709,13.627973121936055,980.8730964467005,1506.4568527918782,557.3984771573604,548.8578680203045,519.3375634517766,511.2233502538071,537.9953707051047,529.5764342684441,1.3421479253971376,0.7308445824080205,34.27317299182327,1.0,0.6733164546727588,,44.218660280492095,44.178082596524945,13.028565792234254,5.1207273644444955,4.6256454143416255,28.33191898152787,28.08147650038929,0.016574649920551764,126.10153658592499,0.931649967955599,11.457627118644067,17.033898305084747,522.8474576271186,592.5593220338983,518.6779661016949,588.5932203389831,520.299430194819,590.0520821567931,0.6331522416378027,0.6907232329832207,3.7450748269014693,1.0,0.709468657519505,1.666041660233253,4.731210239385136,3.9842580746259695,1.5885465668724184,1.1025079555274424,1.0070205688537812,2.3379650365149756,3.144168268197275,0.1698374378959344,9.451639881046198,0.9309391984441835,12.75,21.0,587.375,616.25,582.875,611.625,584.5647546897547,613.3797077922078,0.7064764574197618,0.7216759945385189,3.993756272879826,1.0,0.6335565476190477,1.4899374020093283,5.186173318361439,4.52577574552316,1.6553300858899107,1.106651140621644,1.0,2.64439831595306,3.3903015016207134,0.38884524111550606,10.565863991822647,0.8763400802731467,14.01269035532995,24.248730964467004,534.1802030456853,489.84517766497464,529.6319796954315,485.7258883248731,531.4244222162002,487.285095435357,0.671211797100097,0.7308348781778818,3.7768603353671923,1.0,0.7471851323034003,,5.683607723822028,4.6523209690138065,1.483435194463607,1.0968747687044895,1.0129609180654777,1.9454599655758602,2.5096407390121556,0.23055779652073088,10.5519347708493,0.9382433364249704
5,8.47188110254174,9.456801940963913,69.7897027846254,85.05640067159912,45.15230646458416,9.75533138540073,1008.7181069958848,1584.9156378600824,550.6851851851852,555.0534979423868,511.6872427983539,516.1543209876543,530.7126792459477,535.0283667369353,1.3996922333828525,0.7303407197850434,34.92166788131501,1.0,0.6575328984756034,0.7375775853399772,45.086864214565246,45.377624854080324,13.194992251567223,5.137505631102772,4.632024460034252,29.219156077570155,28.756578637918714,-0.02467787473861844,130.90798028997696,0.921284468739382,13.232876712328768,18.65753424657534,584.1095890410959,543.7808219178082,579.7808219178082,539.6575342465753,581.4131415190824,541.2415446970642,0.6883088194956524,0.6260576057439702,4.015767863776345,1.0,0.7459570403503868,1.5051720995156046,4.773357996707752,4.110177719199539,1.7928175107436861,1.1414396706716416,1.0028370791943364,2.6510486320843385,3.4493481495569354,-0.06985866623905626,10.583159377205163,0.9531343780202468,15.25,21.5,633.25,533.25,628.0,529.25,630.0500408496732,530.7354983660131,0.742714358885253,0.7164352137672656,4.354644866131781,1.0,0.7400198412698413,1.385592773088993,5.404427213958641,4.908912642709586,1.8535533905932737,1.1567947946190273,1.0,2.8838834764831844,3.652139257771511,0.6840536608721148,11.897970773009195,0.9317632850241546,11.65843621399177,19.584362139917694,512.7962962962963,517.4794238683128,508.8641975308642,513.6213991769547,510.32497257786514,515.0478455539121,0.5879411701692024,0.6934935950416089,3.4427313302809615,1.0,0.7668481949985477,,5.0160872846910545,4.055926087189194,1.4335248801638627,1.0831867250328169,1.0055398933239201,1.7079350349841493,2.2436643106398675,0.28983879806839186,9.021723773959113,0.9494017320834937
6,8.510022966562197,9.489964600651888,28.449757635480747,10.3661755280442,13.327521858261546,8.387840407488367,1018.5684210526316,1566.286842105263,551.2631578947369,518.8868421052632,512.5710526315789,480.5131578947368,531.4256145209708,499.20490288149125,1.3632762133557288,0.7290641034336167,34.89944358978733,1.0,0.6767458185066342,,45.202756749611744,45.31544292662749,13.268652648034715,5.178851980229821,4.671608538163504,28.934758750835137,28.54778734903396,-0.02893275535984416,129.54312107127157,0.9286632334275475,11.94,17.86,595.1,537.44,591.16,533.46,592.6004697420227,534.9750029114676,0.6646526786318644,0.6317962961288687,3.7081245317729734,1.0,0.741001461988304,1.584188517544102,4.490077790718842,3.7623804908795004,1.6096321351670682,1.1078733303375166,1.0082842712474618,2.3091813434297466,3.133130722516317,0.16877285642226006,9.757787873376898,0.9571040839988209,13.285714285714286,18.428571428571427,541.8571428571429,647.7142857142857,537.5714285714286,643.7142857142857,539.2479715624877,645.1746868722676,0.6757024108642652,0.6346233677791836,3.9748924512493438,1.0,0.7665694849368319,1.6067128134253656,4.721204732434822,4.053127808757258,1.724438258837925,1.1256932267879052,1.0,2.51900414875794,3.4122615292422442,0.45053233890066247,10.51820242828136,0.9524743230625583,11.18157894736842,19.742105263157896,535.8078947368421,498.8921052631579,532.1342105263158,495.10263157894735,533.4628091062256,496.51715474284043,0.5773038308971788,0.7047612810085693,3.299902711791762,1.0,0.7686162513077042,,4.777494049162316,3.8624399797631197,1.3721114391086344,1.0694894063938396,1.0048116503282796,1.5766079590162938,2.136719198939307,0.35234279057027257,8.64652226774487,0.9557494786654401
7,10.862246249831585,17.18952202019862,28.617699186497354,8.256718769787955,8.118253088415239,23.07154784751827,1167.605577689243,1949.4860557768925,546.7410358565737,623.3625498007968,507.2788844621514,586.8366533864541,526.4810557825272,604.6810884304275,1.467663887299012,0.7073473158842887,32.814367515910696,1.0,0.6513335514153437,,43.380259559944854,44.90500773176766,12.086520436724005,4.6323552321174635,4.130106760423049,28.20760940875706,27.223860282632188,0.22064964516461016,135.51262689320694,0.893769247977588,12.470588235294118,18.41176470588235,511.94117647058823,493.0,507.7647058823529,488.8529411764706,509.3551813573888,490.4708909130861,0.671615733477151,0.6562013003663695,3.868482381569416,1.0,0.7180228758169934,1.5477996591043317,4.6498674442109404,3.9652788760504327,1.6625562333700348,1.1188323059056464,1.0121827518345028,2.53285417295124,3.341860643218862,0.12140717873051411,10.088445372792247,0.9306741437779728,10.75,15.0,309.75,487.25,305.5,483.75,307.2514880952381,484.9742063492063,0.6465956934416035,0.688513231025808,3.6768760213415277,1.0,0.7166666666666667,1.5935745807492916,4.351145748628333,3.600560637700082,1.7071067811865475,1.105465976077012,1.0,2.3658328502243906,3.1109749912858895,0.5019724895082351,9.337310601229374,0.9807692307692308,10.9601593625498,18.16733067729084,528.0239043824702,602.410358565737,524.0637450199204,598.7808764940239,525.5561842873345,600.0630757623657,0.5816385804258082,0.7084643394818045,3.3949955737744375,1.0,0.7690014551707067,,4.862873798493003,3.9160416680004766,1.4323684442665436,1.0775140675539214,1.0024753798548192,1.6735485640255037,2.2305839984260345,0.2802554983438029,8.709329920434628,0.956874837665234
8,11.615348492213672,15.655076769347861,121.97589156122856,11.810064826848508,9.792650639677104,10.717176410008035,1315.2240663900416,2137.1659751037346,473.9460580912863,540.1659751037345,432.13278008298755,497.4688796680498,452.69419654268063,518.4416423260942,1.508284015086382,0.7233116524948667,36.85013419001097,1.0,0.6459906897389882,,48.43904102788955,49.73454095419882,13.559454544823978,5.178222610371075,4.640310442664586,31.699986921042594,30.53211914495752,-0.004304869243717901,149.1349648443493,0.891986839162911,28.73913043478261,54.08695652173913,418.30434782608694,465.2608695652174,409.8695652173913,459.0,413.64865275912257,461.57143624747533,0.960881395380305,0.6427503841923028,5.935336169945426,1.0,0.5309759081498212,1.205937958215861,7.903225213673866,7.855681212231559,2.018771634211451,1.1568879592043808,1.0,4.9651498141093535,5.855955747267385,0.030741070532066924,18.586627132572826,0.7087480594570778,14.0,24.0,189.0,78.0,183.0,74.0,186.0,75.78571428571429,0.5921986548736654,0.8562458195833335,4.222008245644752,1.0,0.5833333333333334,1.6886225454418358,6.325812880140258,5.0990195135927845,2.0,1.1010152544552212,1.0,2.42535625036333,3.267716168285125,1.3707252787823825,10.207106781186548,0.7368421052631579,22.42738589211618,41.5850622406639,505.9460580912863,566.7053941908714,500.0954356846473,561.7385892116182,502.5158714858175,563.715043943979,0.8008526869400681,0.7332065029757551,4.622334480649108,1.0,0.719254246813172,,7.014142968448674,5.983130804742143,1.7942269723004882,1.1835521682949823,1.0469428732106854,2.6879860503432824,3.2273561181615382,0.180466264009856,14.48295116972099,0.9358806405634735
9,12.264805226034277,4.592665138958006,75.97353842366883,66.77612852435573,222.9236642203883,6.537056569769682,1369.0192307692307,2237.9115384615384,525.626923076923,580.05,483.08846153846156,537.25,503.85964307261736,558.2925495183772,1.4993800744953976,0.6925896944938004,37.420833608206976,1.0,0.6523051864238535,,48.12722584755861,49.39176343488338,13.982513912771799,5.2945696606191905,4.7122516923658,32.51778670579984,31.505332624412443,0.02322498229616661,151.82472892086102,0.8997915876696152,28.75,55.0625,438.25,543.25,429.9375,536.90625,433.583400171869,539.5810979064019,0.9437642342888749,0.6492903849947415,5.878945267021542,1.0,0.5203915572963191,1.3131006312003828,7.8231635804316095,7.771659578666909,1.9085229347390884,1.1377746427534887,1.0064720869120796,5.024480824435307,5.791040435332677,-0.17010968953958422,18.374493814931984,0.7045787773727967,24.0,42.0,171.0,638.0,165.0,631.0,168.375,634.0416666666666,0.91995135934409,0.6348997909035057,5.527906391541368,1.0,0.5714285714285714,1.0870139924712796,7.036019433981666,6.4031242374328485,2.0,1.1523689270621824,1.0,5.0,5.435989889632603,-0.3384574259212383,16.65685424949238,0.8,21.796153846153846,39.12692307692308,482.91923076923075,553.1538461538462,477.0615384615385,548.1576923076923,479.48331086564815,550.1559345133979,0.80355090516472,0.7270980594263142,4.656266827780825,1.0,0.7199545851438932,,7.040324602766849,6.039404909648267,1.8141628683147026,1.185521889421945,1.0489769950606451,2.6767014779183333,3.2370961254322346,0.18114025890134794,14.393222880733594,0.9348025432535406
10,12.750808413619893,16.92080918266386,86.97462284416629,109.89627864104821,40.4420218730057,13.742758236412538,1320.4204081632654,2143.269387755102,569.8653061224489,572.7224489795918,526.1755102040817,534.3306122448979,547.4417923308679,552.9430788545304,1.4635563999700363,0.7033117250136919,35.94456832054613,1.0,0.6674237359252891,,47.37444988919586,48.47864842392905,13.308014033749053,5.086397870635968,4.543980795659016,30.408327504489336,29.59699566778786,0.08864334766298636,146.40419167658803,0.9028265082588517,24.576923076923077,47.80769230769231,476.8076923076923,638.4230769230769,469.0769230769231,632.6923076923077,472.53247666697047,635.00269077192,0.7737863040288876,0.692732098394148,5.356743456423275,1.0,0.5169098262848263,1.592292615798495,7.4758997528254145,7.169772477474037,1.754395060720405,1.1024553766290925,1.0,4.381160443882214,5.175160428628331,0.054048836529492994,15.323663830111524,0.7046351828365817,37.0,72.0,109.0,895.0,100.0,887.0,103.86486486486488,890.2972972972973,0.9961066777792644,0.6757792595300262,6.863662517577698,1.0,0.5138888888888888,1.003908539424126,8.826640047188963,9.433981132056603,2.23606797749979,1.2484725758577822,1.0,6.260990336999411,6.506152197701319,0.8745610168378559,21.520815280171306,0.7254901960784313,23.110204081632652,41.10612244897959,503.43673469387755,547.261224489796,497.2857142857143,542.3265306122449,499.85054414716166,544.3071900088604,0.8245102458336483,0.7463564698431697,4.771111267285047,1.0,0.7216999242657363,,7.22418718903353,6.197265834819649,1.85891328777129,1.1944364313435845,1.0436404575519,2.782310253959169,3.3261655866157755,0.1145818685965378,14.99324306411646,0.9362030243601118
