ImageNumber,Nucleus,Centriole1,Centriole2,Cilia,Nuc_Cent1,Nuc_Cent2,Nuc_Cil,Cent1_Cil,Cent2_Cil,Cent1_Cent2
1,9,2,,3,2.792039400103321,,288.7341226858579,291.09318924729206,,
1,15,6,,12,0.23930284054219284,,4.863311998749475,4.637414717691003,,
1,19,8,,11,9.790196468522458,,118.89314060549698,126.34982516520387,,
1,20,7,,6,1.5876657830303142,,268.90618505215593,270.2881527793621,,
1,25,11,,,1.5174551700266874,,,,,
1,26,12,10,,5.825303993482871,10.306062127965875,,,,15.327189576039054
1,27,13,,2,4.510181585363942,,334.1338533848427,338.2011257096284,,
1,28,14,,,1.6955736314689676,,,,,
1,29,15,,,0.6005440905604135,,,,,
1,30,18,16,16,4.133591148626338,4.402075948576806,10.41760612158425,14.51137484871782,10.337678816145594,7.105462919879678
1,32,19,,,2.2463196594205757,,,,,
1,34,21,,15,3.039500138547764,,44.558491590343394,47.591659451869425,,
1,35,22,23,,3.022974203236581,9.332992917931305,,,,8.908485343261832
1,37,25,24,17,4.436104448424422,7.000975207517541,33.08341657677991,37.51778981570749,32.701594655029346,8.76381966652628
1,38,26,,,3.3204907032861963,,,,,
1,39,27,,,1.1119900092612132,,,,,
1,41,30,,18,4.566578664965537,,108.97510188153899,105.55089476327635,,
1,42,31,,,3.886026727864695,,,,,
1,44,29,,,3.7663814202453723,,,,,
1,46,34,33,,5.4240537728169596,7.44839435465499,,,,9.525461365334792
1,48,35,,,3.9523688842450784,,,,,
1,50,37,,,0.8417348972361477,,,,,
1,51,36,,,0.46897463684102403,,,,,
1,53,38,,,4.981520609875569,,,,,
1,55,39,,,1.1378392960224748,,,,,
1,56,40,43,,5.765317110046222,6.375103250990775,,,,10.670933496394948
1,58,44,,19,2.519706462530725,,42.73619063735908,42.605467655443434,,
1,60,46,,,10.231353095754855,,,,,
1,65,51,,,10.272980269059524,,,,,
1,69,52,,,3.2111811917814927,,,,,
1,70,53,,,1.1927120922002898,,,,,
1,71,54,,,5.12423414034413,,,,,
1,73,55,,,2.112600098287161,,,,,
1,78,57,,,0.7749128726704927,,,,,
1,80,58,,22,1.8673120369145397,,71.03343753217247,71.41465086436762,,
1,83,59,,,0.872151056929917,,,,,
1,84,60,,,5.329476811984535,,,,,
1,85,61,63,,5.714900657476939,6.542390389897072,,,,11.450507630668598
1,86,62,,26,3.9617156092216526,,19.64484520115107,21.515390904854474,,
1,88,67,,,0.6382068364104503,,,,,
1,89,68,69,28,2.157137902493177,10.138700539772318,50.22953530815756,48.96524436484866,40.604329060600655,8.50785620751805
1,90,70,,27,1.0365468240685116,,77.32171986512894,76.51382180812794,,
1,3,,,1,,,6.473644691463167,,,
1,6,,,4,,,72.20901117495171,,,
1,7,,,5,,,26.41117195847242,,,
1,23,,,7,,,296.6455229292288,,,
1,4,,,8,,,90.47141853025467,,,
1,8,,,9,,,177.74538687329957,,,
1,10,,,10,,,103.51757466408681,,,
1,22,,,13,,,13.086499977166174,,,
1,18,,,14,,,23.92585833825998,,,
1,59,,,20,,,20.87018057443489,,,
1,64,,,21,,,51.485292372639144,,,
1,75,,,23,,,56.8180704781947,,,
