ImageNumber,Mean_Nuc_Cent1,Mean_Nuc_Cent2,Mean_Nuc_Cil,Mean_Cent1_Cil,Mean_Cent2_Cil,Mean_Cent1_Cent2,Mean_Nucleus_AreaShape_Area,Mean_Nucleus_AreaShape_BoundingBoxArea,Mean_Nucleus_AreaShape_BoundingBoxMaximum_X,Mean_Nucleus_AreaShape_BoundingBoxMaximum_Y,Mean_Nucleus_AreaShape_BoundingBoxMinimum_X,Mean_Nucleus_AreaShape_BoundingBoxMinimum_Y,Mean_Nucleus_AreaShape_Center_X,Mean_Nucleus_AreaShape_Center_Y,Mean_Nucleus_AreaShape_Compactness,Mean_Nucleus_AreaShape_Eccentricity,Mean_Nucleus_AreaShape_EquivalentDiameter,Mean_Nucleus_AreaShape_EulerNumber,Mean_Nucleus_AreaShape_Extent,Mean_Nucleus_AreaShape_FormFactor,Mean_Nucleus_AreaShape_MajorAxisLength,Mean_Nucleus_AreaShape_MaxFeretDiameter,Mean_Nucleus_AreaShape_MaximumRadius,Mean_Nucleus_AreaShape_MeanRadius,Mean_Nucleus_AreaShape_MedianRadius,Mean_Nucleus_AreaShape_MinFeretDiameter,Mean_Nucleus_AreaShape_MinorAxisLength,Mean_Nucleus_AreaShape_Orientation,Mean_Nucleus_AreaShape_Perimeter,Mean_Nucleus_AreaShape_Solidity,Mean_Centriole1_AreaShape_Area,Mean_Centriole1_AreaShape_BoundingBoxArea,Mean_Centriole1_AreaShape_BoundingBoxMaximum_X,Mean_Centriole1_AreaShape_BoundingBoxMaximum_Y,Mean_Centriole1_AreaShape_BoundingBoxMinimum_X,Mean_Centriole1_AreaShape_BoundingBoxMinimum_Y,Mean_Centriole1_AreaShape_Center_X,Mean_Centriole1_AreaShape_Center_Y,Mean_Centriole1_AreaShape_Compactness,Mean_Centriole1_AreaShape_Eccentricity,Mean_Centriole1_AreaShape_EquivalentDiameter,Mean_Centriole1_AreaShape_EulerNumber,Mean_Centriole1_AreaShape_Extent,Mean_Centriole1_AreaShape_FormFactor,Mean_Centriole1_AreaShape_MajorAxisLength,Mean_Centriole1_AreaShape_MaxFeretDiameter,Mean_Centriole1_AreaShape_MaximumRadius,Mean_Centriole1_AreaShape_MeanRadius,Mean_Centriole1_AreaShape_MedianRadius,Mean_Centriole1_AreaShape_MinFeretDiameter,Mean_Centriole1_AreaShape_MinorAxisLength,Mean_Centriole1_AreaShape_Orientation,Mean_Centriole1_AreaShape_Perimeter,Mean_Centriole1_AreaShape_Solidity,Mean_Centriole2_AreaShape_Area,Mean_Centriole2_AreaShape_BoundingBoxArea,Mean_Centriole2_AreaShape_BoundingBoxMaximum_X,Mean_Centriole2_AreaShape_BoundingBoxMaximum_Y,Mean_Centriole2_AreaShape_BoundingBoxMinimum_X,Mean_Centriole2_AreaShape_BoundingBoxMinimum_Y,Mean_Centriole2_AreaShape_Center_X,Mean_Centriole2_AreaShape_Center_Y,Mean_Centriole2_AreaShape_Compactness,Mean_Centriole2_AreaShape_Eccentricity,Mean_Centriole2_AreaShape_EquivalentDiameter,Mean_Centriole2_AreaShape_EulerNumber,Mean_Centriole2_AreaShape_Extent,Mean_Centriole2_AreaShape_FormFactor,Mean_Centriole2_AreaShape_MajorAxisLength,Mean_Centriole2_AreaShape_MaxFeretDiameter,Mean_Centriole2_AreaShape_MaximumRadius,Mean_Centriole2_AreaShape_MeanRadius,Mean_Centriole2_AreaShape_MedianRadius,Mean_Centriole2_AreaShape_MinFeretDiameter,Mean_Centriole2_AreaShape_MinorAxisLength,Mean_Centriole2_AreaShape_Orientation,Mean_Centriole2_AreaShape_Perimeter,Mean_Centriole2_AreaShape_Solidity,Mean_Cilia_AreaShape_Area,Mean_Cilia_AreaShape_BoundingBoxArea,Mean_Cilia_AreaShape_BoundingBoxMaximum_X,Mean_Cilia_AreaShape_BoundingBoxMaximum_Y,Mean_Cilia_AreaShape_BoundingBoxMinimum_X,Mean_Cilia_AreaShape_BoundingBoxMinimum_Y,Mean_Cilia_AreaShape_Center_X,Mean_Cilia_AreaShape_Center_Y,Mean_Cilia_AreaShape_Compactness,Mean_Cilia_AreaShape_Eccentricity,Mean_Cilia_AreaShape_EquivalentDiameter,Mean_Cilia_AreaShape_EulerNumber,Mean_Cilia_AreaShape_Extent,Mean_Cilia_AreaShape_FormFactor,Mean_Cilia_AreaShape_MajorAxisLength,Mean_Cilia_AreaShape_MaxFeretDiameter,Mean_Cilia_AreaShape_MaximumRadius,Mean_Cilia_AreaShape_MeanRadius,Mean_Cilia_AreaShape_MedianRadius,Mean_Cilia_AreaShape_MinFeretDiameter,Mean_Cilia_AreaShape_MinorAxisLength,Mean_Cilia_AreaShape_Orientation,Mean_Cilia_AreaShape_Perimeter,Mean_Cilia_AreaShape_Solidity
1,3.373265648861708,7.693336842163335,88.67477350341707,106.91114300688504,27.8812008439252,10.032464525702904,749.4821428571429,1121.75,497.3392857142857,618.1785714285714,463.875,586.5892857142857,480.18986297708085,601.929567299301,1.2838748765868233,0.7235618854949359,29.6275147448312,1.0,0.6759960057817654,0.7944562205509355,38.13054578869333,38.533661793317115,11.630591816613018,4.595050842295281,4.139373141802099,23.635300951231805,23.994965247217092,9.444338492078701,105.667853205995,0.947107403382364,94.4047619047619,153.11904761904762,501.04761904761904,663.2857142857143,489.5,652.4761904761905,494.601006685682,657.3316476200723,1.2280956991794707,0.7442333388965632,9.88477969156993,1.0,0.6697514174568964,0.9473542070473651,13.330767002341082,12.915676996830035,3.756819275082859,1.7875823562946747,1.5383180921373256,7.66045469164474,8.072547351314155,-6.44708000884435,35.60087436908235,0.8925738197561595,25.0,40.5,445.25,662.0,439.25,655.5,441.747585329069,658.2035377719678,0.888592257525321,0.7419478793784475,5.4800714451748345,1.0,0.6452050264550264,1.2937007601204662,7.536111902177479,6.685411985507768,2.0873635896767424,1.2628749925571476,1.051776695296637,3.601553079371237,4.292178756211175,14.514414613015234,16.52817459305202,0.9251272321965054,19.607142857142858,31.0,411.82142857142856,494.4642857142857,406.57142857142856,489.39285714285717,408.74967293560525,491.4308171796899,0.8055390578346602,0.7223377327284645,4.494012927644148,1.0,0.7117900948258091,1.5953214763662658,7.044568864664767,5.891782935712324,1.6621600450499687,1.1537681180338268,1.0443800245399744,2.4042094891415897,3.0795164408640714,10.5692027034402,13.543148314346896,0.9140911496863946
2,5.627462861462749,6.808788416669389,25.933571042368673,21.86411213425311,,13.101225129761753,985.0793650793651,1443.047619047619,565.3809523809524,481.57142857142856,527.1269841269841,444.8888888888889,545.794016295285,462.5879356347727,1.2788773857085736,0.7351587718692812,34.53427976807331,1.0,0.6873334601916378,0.7918237134134618,44.01236189546136,44.19143178107227,13.499354384901707,5.301970157495502,4.7832196921720245,27.930696548897277,28.07788136682168,1.0583706678863893,122.57798727513993,0.9455092297038173,47.869565217391305,71.73913043478261,578.695652173913,441.2608695652174,570.9565217391304,433.39130434782606,574.3302267041985,436.91270096825656,1.0634598039560696,0.7470940517128364,7.087535602371047,1.0,0.6864937558415819,1.0227252858241764,9.483030906003496,8.678859824157078,2.7604204338908636,1.4588008916859672,1.2292000818883708,5.115015434147361,5.738324943563078,15.602662176920093,23.601061848321276,0.894719296931696,45.0,72.5,655.0,536.5,647.0,529.0,650.8395061728395,532.3395061728395,0.9584421215867067,0.8526479166670657,6.770275002573076,1.0,0.6115384615384616,1.0924173813745541,9.388926273238747,8.56155281280883,2.7071067811865475,1.451810969841748,1.2071067811865475,4.7835144875259274,5.084226136036711,43.68843215491211,21.81370849898476,0.9102272727272727,33.86363636363637,52.95454545454545,526.7954545454545,497.29545454545456,519.0681818181819,490.8636363636364,522.4050931470084,493.6660777609043,1.0716277955998779,0.7600941377675731,6.253720183406941,1.0,0.7210132255327725,1.1008383863280315,9.504083116134673,8.433301722373217,2.294964189983674,1.3233760591361963,1.0564836675963312,3.867893547733243,4.573279699177278,23.715882820707453,21.1293052173317,0.9149276166947243
3,5.672033226462538,8.180910623591446,29.75959665597181,25.469605988559504,20.110949116051763,13.51949699846967,942.2753623188406,1341.3188405797102,588.5942028985507,577.463768115942,553.3623188405797,540.2463768115942,570.4462010238992,558.3043767120671,1.2445377271009714,0.7363791946866395,33.78115842997553,1.0,0.7086144739841187,0.8137482416073618,42.89472864627453,42.80199733123111,13.373100379673996,5.282973605693589,4.762469371137435,27.123285580683024,27.370943656041575,-5.556344142852941,118.37235389778832,0.9541311802442628,48.22222222222222,81.29629629629629,665.7777777777778,632.6666666666666,657.5925925925926,624.9629629629629,661.2649668536272,628.3855741886376,1.0347011101663726,0.751495521576708,6.942533099637904,1.0,0.6661437559354226,1.1087619910011937,9.399228343368307,8.66066718771836,2.6546272578750973,1.4257898367816026,1.2491822985688097,5.182587624382956,5.718612826776108,-6.380959603073034,23.416697384540083,0.882817249236133,18.666666666666668,25.666666666666668,661.0,938.3333333333334,656.0,933.3333333333334,657.8966049382716,935.2211199294533,0.8492267349926109,0.7901958633996743,4.74188377729097,1.0,0.7712962962962964,1.2794016717104275,6.569680140350504,5.5895851836489525,1.8834271799576283,1.1813887728078531,1.0,2.9046355878470123,3.4857127885175547,-13.384668508012638,14.047378541243651,0.9376811594202898,33.574074074074076,57.24074074074074,558.3518518518518,529.9074074074074,551.2222222222222,522.8518518518518,554.2316426523253,525.8921300185402,1.0388637448422873,0.7391171071775956,6.192843838204181,1.0,0.6959136023002542,1.1347331094383255,9.249389283093617,8.227076590658667,2.3093559672299766,1.322827383666996,1.095882769067846,3.863029659854269,4.498657116874852,8.171326633006187,20.612504664703177,0.9216657569022101
4,4.9309041444157105,10.758479940974585,29.9757560200435,34.31012118081482,39.18419607298092,17.724173667055123,838.7547169811321,1214.5471698113208,565.0188679245283,633.8679245283018,532.0754716981132,598.8490566037735,548.1234994803679,615.8272348781385,1.251700877600909,0.7247708485219456,31.465618106374002,1.0,0.6967740199503519,0.8102887648830709,40.177557281135385,40.38774100246436,12.384069468524933,4.9007961853284945,4.438447775202796,25.334935584194245,25.563907201877782,-3.658517672010349,110.94287408762266,0.9499799843736291,54.15,80.3,492.35,762.85,484.95,754.2,488.156689047893,758.0689918414471,1.0360824688059496,0.7434530633424423,7.3793826648059495,1.0,0.6931894540644541,1.0783643830880956,9.543623555815497,8.695783599366157,2.983764673271941,1.512319758033175,1.2785533905932738,5.603650307985806,6.245921169940575,-3.8121604457240528,24.154825022501576,0.8824143816383729,17.0,20.0,42.0,751.0,38.0,746.0,39.588235294117645,748.1176470588235,0.7016029743359026,0.625943231252129,4.652426491681278,1.0,0.85,1.4253075265915784,5.181899763382574,4.47213595499958,2.0,1.249567099242311,1.0,3.0,4.041201040002321,15.171624442119782,12.242640687119284,1.0,37.37837837837838,71.62162162162163,565.8648648648649,548.5945945945946,557.5405405405405,540.7297297297297,561.1337430323639,544.2022646453592,1.2180036737442885,0.8179714628004002,6.538304331561667,1.0,0.613607859462666,1.0078621662068594,11.072287255076565,9.8974039873838,2.2019844555725565,1.3043284079082036,1.0783647280165316,3.7271147377839737,4.283442896735423,17.35692864351879,23.60603914265845,0.8922562807162835
5,4.931181439050886,,28.247581265242342,25.02676086813901,,,940.7236842105264,1361.407894736842,506.82894736842104,506.85526315789474,470.3421052631579,470.61842105263156,488.0801894652337,488.4022499462654,1.245630724547218,0.7308874216010043,33.76630334319469,1.0,0.696794440545767,0.8166740391709102,43.0382743994798,42.89909470300497,13.3356537982739,5.277722282740236,4.7685223845835685,27.048031926262098,27.251185260398387,3.67086460367443,118.33764564636273,0.9550059307957757,38.5,56.214285714285715,473.64285714285717,553.2857142857143,466.57142857142856,546.4285714285714,469.6988879533306,549.4465392593468,0.9470088430531977,0.6910637422881077,6.468016852009578,1.0,0.7228466114899325,1.1312784141762566,8.168146649632062,7.3742020470521865,2.615774592025002,1.4227911845800303,1.2040991657899593,4.65859756075198,5.440552869310546,6.749044697306592,20.187311883149015,0.9218788116664219,,,,,,,,,,,,,,,,,,,,,,,,,37.97014925373134,66.59701492537313,510.3731343283582,483.910447761194,502.1641791044776,476.7164179104478,505.75276516184016,479.73011292431937,1.0821275911749857,0.7803425014742661,6.609834179073924,1.0,0.6681134577683043,1.0821587792794563,10.024175415104196,8.959141878706598,2.4973088286920566,1.3740552103534973,1.1442231478194367,4.169990942121153,4.8038386575469945,5.716777334891489,22.258234248640512,0.909961396314565
6,3.35196096871708,8.179633008634543,55.79403905477807,60.51736723685238,90.63930487002031,11.973093626731284,891.4081632653061,1294.4897959183672,562.0,480.83673469387753,528.1020408163265,444.48979591836735,544.5745587326307,462.28680278725705,1.2231836120895625,0.7134884305219509,32.52625016449614,1.0,0.6951363883297611,0.8265963463868771,41.13585378527092,41.22121254745849,12.932401612082332,5.116016340666168,4.607187502650743,26.050759243224743,26.44819538636142,-5.276480570058801,113.1751317077294,0.957595559149822,73.21428571428571,113.03571428571429,525.3928571428571,500.17857142857144,515.75,490.4642857142857,520.0109902517472,494.7288003284206,1.155702023174351,0.6893252075603067,8.679773132956544,1.0,0.6797571759039692,0.9901197547780828,11.460029956088615,10.650113774583193,3.441728180809765,1.6673038064639123,1.412648570807397,6.7455766234680095,7.438953181168105,1.5494185780865035,29.87712454456013,0.8799109543217211,58.0,79.66666666666667,672.8333333333334,588.6666666666666,665.0,580.8333333333334,668.314933402389,584.3987856883723,0.9162539653768093,0.6387774724493275,7.346239245566275,1.0,0.6838375350140056,1.1266412767365521,8.85973953026062,8.419657695583561,3.102628850977318,1.576333818521281,1.304737854124365,5.775629585848275,6.47143600684021,38.41205665300401,22.55431696796742,0.897988948720656,38.96875,84.53125,593.71875,442.625,585.875,434.28125,589.2083276122264,437.84638532572757,1.203499416326816,0.7250250951495583,6.3637150065583095,1.0,0.63857008031603,1.156717086289335,10.75214541303079,9.384025689658023,2.187713803620159,1.2747871610207677,1.1035533905932737,4.098054118396276,4.630426430301949,22.879929229852124,23.753238847655247,0.8884146336943651
7,5.1900870101570495,,45.83394899301504,67.1903189224109,,,999.55,1404.0666666666666,515.2166666666667,497.6,479.28333333333336,460.3,496.7012319749407,478.34366550790423,1.2151831276028393,0.7166228283852314,34.393123016865566,1.0,0.7069028769269534,0.8301463044209056,42.952352740846955,42.721406317277896,13.927627321773192,5.455873714486697,4.929006083238567,27.98082990882147,28.227049777682574,-11.093791135956526,118.97507447802026,0.9569533137221412,39.3125,65.0,469.3125,489.25,461.625,482.125,464.9905872403897,485.24135311001413,1.051220666855998,0.6839017727955179,6.587150319359122,1.0,0.6860007397116772,1.0692259898222822,8.7545880345893,8.03515812865871,2.678146222264395,1.4089784867517083,1.1875,4.911617109075657,5.505218375289135,3.3886536105228897,21.925383284259983,0.9015269929839785,,,,,,,,,,,,,,,,,,,,,,,,,34.627450980392155,67.27450980392157,526.1372549019608,473.8627450980392,519.1372549019608,465.7450980392157,522.173822016646,469.2605174003303,1.1304081938273196,0.7313372698851578,6.239520402538783,1.0,0.6700666405704095,1.1258946286546263,10.248587360316327,9.023415867208897,2.2395341501228736,1.3054321433593552,1.0934010973978547,3.6593197715278163,4.330834689061457,1.7353928918991373,21.827791912111813,0.9219629981550159
8,3.7883229177075957,11.824067084402392,141.35198706791974,138.28762428087,66.63896961151087,16.11946500154745,934.675,1332.1,404.45,604.25,372.8,564.4,388.14215457597413,583.698542702572,1.238858746032983,0.7075903466142938,33.11802228393726,1.0,0.7092486529007098,0.8228032153682087,42.416206010029,42.34735517023226,13.174307577526795,5.1860097617417384,4.697736243661199,26.51921274737628,26.798356340721625,3.8764588141120067,116.23940558940271,0.9570112167920393,191.2,328.0,416.48,610.08,400.84,591.64,408.5125963803215,600.5083565212178,1.6296768045587071,0.7794264575471295,14.386340920085955,1.0,0.5934132892899382,0.7227881112917198,20.726436372377098,20.04704792950205,4.915549919288989,2.1519374164196163,1.90920465455934,11.531824912982374,11.686809509499277,13.232649054243398,59.52711395993652,0.8388053658653934,22.8,35.8,575.0,556.6,569.8,550.8,571.8680026067123,553.1320299771912,0.8126232558337583,0.7161931598266922,4.9463717802259755,1.0,0.6698333333333333,1.3036835701341687,6.569770823873225,5.604695062657269,1.9340092755419938,1.2286343374386888,1.082842712474619,3.0952058060778613,3.922838748346502,23.206945182019744,14.505382386916239,0.9056898656898656,31.3,74.975,396.85,640.15,389.925,632.475,392.9583753349015,635.776538847358,1.095199045349823,0.8072233017822148,5.55900806491056,1.0,0.629448870555389,1.49261350018894,10.334835733058682,8.910093932308616,1.9398584044794152,1.2173709809126194,1.081066017177982,3.048218827361636,3.5911198323626925,2.954607499962614,20.15170273047588,0.8864932601776797
9,5.752960817095883,7.157833656554445,50.083906082726706,52.11019290264771,4.651171205986622,10.334878176223187,941.8958333333334,1346.3958333333333,579.9791666666666,548.8125,542.1875,514.2708333333334,560.5688865447797,531.2318983861313,1.2364387806539283,0.7445915881872973,33.68389827551932,1.0,0.7025871644057489,0.8147759708306103,42.92367764844,42.72502983402409,13.18262695020457,5.256303310267981,4.749297251624556,26.74806837865071,27.111509397368007,4.657668325653963,117.65917350378722,0.9570346102911778,76.125,132.625,509.5833333333333,535.6666666666666,500.0416666666667,525.4583333333334,504.2800318349244,530.0371208163049,1.2296647996291863,0.7356889012160023,8.541442604663246,1.0,0.6859364411607541,1.0401189373328403,11.947022263221475,11.386860569260397,3.1872990834908426,1.5723328742328715,1.385703469069629,6.502620122235736,6.936542572825424,11.703191314602643,32.460917190192724,0.8715801619138918,25.0,38.0,529.6666666666666,440.0,523.6666666666666,433.6666666666667,526.0610269360269,436.4372895622896,0.8803254642793868,0.7522536491170451,5.599086190262379,1.0,0.6714285714285714,1.1465810110136256,7.733503486799002,6.634539471846843,2.159569554873025,1.2987236500873027,1.1380711874576983,3.6802232980197265,4.3076438929462855,-5.146452617183843,16.404401145198808,0.9292436974789915,36.885714285714286,71.08571428571429,598.0857142857143,478.62857142857143,589.5142857142857,472.0857142857143,593.3510774706891,474.8456328663303,1.0945781531645227,0.8049851976525603,6.247315463825351,1.0,0.6528258821975256,1.2525137661292185,10.063116589615078,8.871522567439552,2.1882507985519553,1.2966015812096754,1.1173314776513774,3.7726819471127637,4.346410989987181,26.914446103756518,21.96153987590463,0.9077964576746662
10,3.6182421644061344,,43.93234542040434,29.04044410283676,,,1051.2941176470588,1526.5294117647059,526.7058823529412,517.9607843137255,488.1764705882353,480.3137254901961,507.0197518949385,498.4416910807517,1.2658241548486024,0.7008877661160647,35.24377948636607,1.0,0.6883411831557186,0.8013773907032159,44.11702788327008,44.22932839027534,14.018883056286244,5.496595706104239,4.966105228955299,29.091372737320814,29.180036276381887,-0.5881095190518781,123.91260708196036,0.9454726468123128,34.8,55.2,644.0,291.2,636.8,284.6,639.9027635347456,287.35200637361197,0.9340032761704578,0.7318198265727286,6.14753179782593,1.0,0.6431818181818182,1.1364668555465245,7.81505931140551,7.179084293559872,2.648528137423857,1.3708189582177241,1.2,4.571400180449468,5.153962351462832,34.735707584507956,19.209545442950496,0.8874525230602279,,,,,,,,,,,,,,,,,,,,,,,,,30.76595744680851,64.12765957446808,502.82978723404256,521.8936170212766,496.02127659574467,514.2127659574468,499.0036773897975,517.5338061058509,1.0629729688779381,0.757105724301446,5.796449188160519,1.0,0.6213883188559818,1.2253495108892773,9.707871784255813,8.493966333560959,2.012144329926129,1.2459130113818506,1.0793174906671885,3.3969003340498882,4.005870064309449,-4.370866505809578,19.89042244999054,0.8998251628772578
